source_way,target_way
145783660,420445778
145783660,420445777
145783660,420445776
882716464,882716467
882716463,882716467
882716467,420445776
882716467,420445775
543213925,543213922
138292406,145404570
138292407,145661616
138292407,624693986
624693986,624687818
624693986,837149876
145667222,145668589
145667216,145667219
857614001,486490982
857614001,857614002
146016753,146016752
744526322,744526321
744526321,365220297
145393144,145428885
145393887,145428885
145603817,145603823
145691151,145407131
145691151,145583381
145407131,859508341
145407131,145590154
516273479,145412813
516273479,517211896
516273479,677243206
516273479,516273480
145412813,517211896
517211896,145412821
517211896,517211894
677243206,516273480
516273480,677243205
145412821,517211894
517211894,145412834
517211894,516271682
145412834,516271682
516271682,516504002
516271682,145412836
516504002,145412836
516504002,145428885
145416454,145416492
145416454,145416459
145416454,145416475
145416459,145416479
145416461,145416491
145416493,386427433
145416493,399587021
145416493,506400615
386427433,145488782
386427433,506400617
386427433,506400616
399587021,145488782
399587021,506400617
399587021,506400616
566778071,506400615
624687820,624687818
146036696,145497443
146036696,402585423
146036696,566778075
146036696,146036661
146036696,146036708
146036696,145425491
145425491,146026333
145425491,146026397
145425491,145577355
145425491,145577356
145425491,146026374
145425491,145577359
145425491,145577358
145425491,146026334
145425491,518100983
145425491,145577361
145425491,145425492
145425491,145782971
145425491,145659908
145425491,145575686
146026333,146026342
146026333,146026375
146026397,146026357
146026397,146026378
146026397,145436216
146026397,146026396
145577355,145436216
145577355,145577347
145577356,145436216
145577356,145577347
146026374,146026373
146026374,146026375
146026374,146028183
145577359,145436216
145577359,145577347
145577358,145436216
145577358,145577347
146026334,145425492
518100983,145436216
518100983,780731159
518100983,145577347
145577361,145436216
145577361,145577360
145577361,145425492
145577361,145577347
145425492,146026372
145425492,146026369
145425492,146026336
145572610,145436216
145572610,145694512
145572610,780731159
145572610,145577360
145572610,145577347
145572610,421716261
145782971,146026336
145659908,145575686
145659908,145577347
145659908,145577353
145659908,518100977
145659908,421716261
145575686,146026336
145575686,145621638
145575686,145659910
146026372,146026373
146026373,146028183
146026373,146026376
146026336,146026396
146026336,146026376
145425998,145425996
365220174,145661429
365220174,365220297
590430062,590430061
590430062,590430056
590430061,590430060
590430056,590430055
590430060,590430059
145622385,145621638
145622392,145621638
145625284,881672584
145436216,145694512
145436216,780731159
145436216,145733107
145436216,145572609
145436216,145436217
145436216,145577353
145436216,145733108
145694512,145733107
145694512,145733108
145694512,145694510
780731159,145733107
780731159,145572609
780731159,145733108
780731159,518890445
780731159,145572612
780731159,145572614
780731159,780731158
780731159,145690222
780731159,145690223
780731159,145690234
780731159,145694510
145577360,145572609
145577360,146019521
145577360,145577353
145733107,145577353
145572609,145577347
145572609,145577349
145572609,145577351
145572609,145577352
145572609,543630690
145572609,543630688
543630690,518890445
145436217,403004685
145436217,403004686
145436217,403004687
145436217,403004688
145436217,145572614
145436217,518890445
403004685,146019521
146019521,518890445
403004688,145572614
145690230,145572612
145690230,145572614
145437543,145437530
145437543,145437542
145437543,145437529
145437543,145437531
145437530,145437542
145437530,145437528
145437530,145437540
145437530,145437539
145437528,145437529
145437528,145437536
145437528,145437531
145437540,145437538
145437540,145437539
145437540,145437529
145437540,145437531
145437537,145437534
145437537,145437536
145437537,145437535
145437537,145437539
145437534,145437531
145437531,145437544
145437544,145761378
145761378,146180035
145761378,146180044
145761378,146180032
145761378,146180031
145437538,145437539
145622801,145622799
655510434,546947402
145691165,438912914
145575006,145692173
145463611,145743318
145463611,145743334
145743334,145744804
145470342,145818088
145470342,145958755
566778077,145488782
145488782,506400615
145488782,506400614
145488782,506400613
145488782,872136054
506400617,506400615
506400617,506400614
506400615,506400616
506400614,506400616
506400613,506400616
872136054,872136052
543218604,543218603
543218604,543218605
543218604,882266694
145497402,145497403
145497403,145497405
145497403,145497445
145497403,145497443
145497403,146036660
145497403,146036662
145497403,145497444
145497403,146036654
145497406,145497444
145497405,146036656
145497445,145497441
145497445,145497442
145497445,145497440
145497445,402585423
145497445,780121223
145497445,146036656
145497443,146036655
145497443,145497441
145497443,145497442
145497443,145497440
145497443,402585423
145497443,146036656
145497443,566778075
146036660,146036658
146036660,145497404
146036660,146036659
146036660,146036655
146036658,146036662
145497404,146036657
145497404,146036659
146036659,146036655
146036659,146036654
146036655,146036656
146036662,146036654
146036657,146036654
406118147,145497412
406118147,145497415
406118147,145497414
145497441,146036654
145497441,145497444
145497441,146036708
540112696,540112697
145497444,145497442
145497444,145497440
145497444,402585423
145497444,146036656
145497442,146036708
145497440,146036708
402585423,566778075
402585423,780121223
566778075,146036699
566778075,146036706
566778075,146036705
566778075,146036703
362550364,362550363
362550364,362550408
362550364,321808977
486490982,857614002
744526327,530443681
744526327,744526326
530443681,484866178
884177611,740088670
884177611,884177613
884177611,884177612
530442454,530442397
530442397,740088670
740088670,884177612
145502030,145674457
145502030,145690487
145508859,145707892
145707877,145707892
145558429,518100984
145558427,518100984
145558425,518100984
145558426,518100984
145558430,145558421
145558430,145690235
145558430,145558423
518100984,145690235
518100984,145572615
518100984,145690228
518100984,145558421
518100984,145690232
590430067,590430064
590430067,145562759
590430064,145562759
590430064,590430055
408576533,146001147
521958936,145565879
145565879,402569510
145566386,145566479
145566386,145566435
145566386,145566458
145566479,145566393
145566479,145566433
145566479,145566441
145566479,145566431
145566435,145566393
145566458,145566393
145618786,145618793
145618786,145618794
673393757,145617974
673393757,145618252
673393757,145617683
673393757,145617975
673393757,145617680
673393757,145617980
673393757,145617979
145617683,145617978
145577347,145577353
145577347,145577348
145577348,421716261
145577348,421716258
145577348,421716259
145577348,421716260
145577348,421716262
145577348,421716263
145577348,518100977
543630688,518890445
145572612,145572614
145692173,145625122
145692173,145625133
145621638,710344378
145621638,145621630
145621638,145621632
145621638,145621633
145659910,518094738
145659910,145659906
145659910,145782972
145659910,145782967
518100977,145659912
518100977,145659907
884186808,782610299
145627943,145610498
145627943,145610495
145610498,145610495
145610495,624693988
624693988,624693987
624693987,520458163
145613615,145665412
145616543,145616533
145616543,145616552
145616543,145616536
145616543,145616542
145616543,145616538
145616543,145616540
145616543,145616547
145616543,145616545
145616543,145666510
145617680,145617976
145617680,145618250
145618245,145618252
673393762,673393761
673393762,145618944
145619197,145668547
145619197,145667108
145619197,145667115
145619197,145667106
145619197,145668554
145619197,145667119
145619197,145668592
145619197,145667118
145619197,145668596
145619197,145667116
145619197,145668590
145619197,145667107
145619197,145667120
145619197,145668587
145619197,145667099
145619197,145668557
145619197,145667103
145619197,145667098
145619197,145668567
145619197,145667102
145619197,399568508
145619197,399568507
145619197,145668577
145619197,145667111
145619197,145667109
145619197,145668568
145619197,145668549
145619197,145668550
145619197,145667104
145619197,145667097
145619197,145668537
145619197,145668583
145619197,145668581
145667115,145667105
145667106,145667105
145667119,145667105
145668592,145667646
