,Unnamed: 0,Город,Федеральный округ,Население,Широта,Долгота,Часовой пояс
307,307,Рославль,Центральный,54898.0,53.9449601,32.8479617,UTC+3
308,308,Геленджик,Южный,54813.0,44.5631053,38.0790184,UTC+3
309,309,Боровичи,Северо-Западный,54731.0,58.3839866,33.9176761,UTC+3
311,311,Белореченск,Южный,53891.0,44.7652733,39.8780457,UTC+3
312,312,Солнечногорск,Центральный,52996.0,56.2148655,37.0967653,UTC+3
313,313,Назарово,Сибирский,52829.0,56.0113176,90.4167947,UTC+7
315,315,Черемхово,Сибирский,52650.0,53.1369385,103.090119,UTC+8
316,316,Краснокамск,Приволжский,52632.0,58.0820946,55.7479797,UTC+5
317,317,Лесной,Уральский,52464.0,58.634981,59.7980528,UTC+5
319,319,Бугуруслан,Приволжский,52249.0,53.6522636,52.4326166,UTC+5
322,322,Ливны,Центральный,50430.0,52.4285122,37.603944,UTC+3
323,323,Донецк,Южный,50085.0,48.3350928,39.9460654,UTC+3
